"ID";"ParkingName";"global_id";"ParkingZoneNumber";"AdmArea";"District";"Address";"WorkingHours";"Price";"CarCapacity";"Longitude_WGS84";"Latitude_WGS84";"Coordinates";"geoData";
"3207127";"Парковка №3207 (27)";"281949980";"3207";"Центральный административный округ";"Басманный район";"Бакунинская Улица, Дом 14, Строение 1";"круглосуточно";"60.0";"6";"37.6831367994652";"55.7744243336126";"55.7743215,37.6827944|55.7744354,37.683186|55.7745161,37.68343";"{type=MultiLineString, coordinates=[[[37.68279440021899, 55.77432149989054], [37.683186000105856, 55.77443540021122], [37.683429999605, 55.77451610018241]]], center=[[37.683112199912, 55.7744188000364]]}";
"3207128";"Парковка №3207 (28)";"281949981";"3207";"Центральный административный округ";"Басманный район";"Бакунинская Улица, Дом 7, Строение 1";"круглосуточно";"60.0";"8";"37.6814916323046";"55.7740718672532";"55.7741888,37.6819011|55.7740945,37.6815873|55.7739323,37.6809865";"{type=MultiLineString, coordinates=[[[37.681901100229105, 55.77418879993066], [37.681587299835755, 55.77409450010456], [37.680986500285535, 55.77393229992888]]], center=[[37.6814438002573, 55.7740605499298]]}";
"3207129";"Парковка №3207 (29)";"281949982";"3207";"Центральный административный округ";"Басманный район";"Бакунинская Улица, Дом 15";"круглосуточно";"60.0";"8";"37.6829212990653";"55.7745042671599";"55.7746126,37.6832718|55.774538,37.6830451|55.7743622,37.682447";"{type=MultiLineString, coordinates=[[[37.68327179999526, 55.774612599889096], [37.68304510025185, 55.77453800010068], [37.68244700013908, 55.774362200160475]]], center=[[37.6828594000672, 55.7744874000248]]}";
"3206101";"Парковка №3206 (1)";"281949983";"3206";"Центральный административный округ";"Красносельский район";"1-Й Басманный Переулок, Дом 3, Строение 1";"круглосуточно";"60.0";"5";"37.6630399498369";"55.7700201500105";"55.7698844,37.662993|55.7701559,37.6630869";"{type=MultiLineString, coordinates=[[[37.662992999904546, 55.7698844002452], [37.66308689990288, 55.770155899877636]]], center=[[37.6630399499037, 55.7700201500614]]}";
"3207101";"Парковка №3207 (1)";"281949984";"3207";"Центральный административный округ";"Басманный район";"1-Й Басманный Переулок, Дом 2А";"круглосуточно";"60.0";"7";"37.6632061996293";"55.770077500024";"55.7698738,37.6631351|55.7702812,37.6632773";"{type=MultiLineString, coordinates=[[[37.66313509990777, 55.76987380017671], [37.66327729962397, 55.7702812001157]]], center=[[37.6632061997659, 55.7700775001462]]}";
"3207102";"Парковка №3207 (2)";"281949985";"3207";"Центральный административный округ";"Басманный район";"1-Й Басманный Переулок, Дом 4";"круглосуточно";"60.0";"3";"37.6633925499413";"55.7706017500038";"55.7705203,37.6633644|55.7706832,37.6634207";"{type=MultiLineString, coordinates=[[[37.66336440027391, 55.77052030003882], [37.66342070038773, 55.770683200116515]]], center=[[37.6633925503308, 55.7706017500776]]}";
"3206102";"Парковка №3206 (2)";"281949986";"3206";"Центральный административный округ";"Красносельский район";"1-Й Басманный Переулок, Дом 3, Строение 1";"круглосуточно";"60.0";"5";"37.6632717997985";"55.770684400013";"55.7705339,37.6632195|55.7708349,37.6633241";"{type=MultiLineString, coordinates=[[[37.66321950022196, 55.770533899957805], [37.66332410005366, 55.770834899908024]]], center=[[37.6632718001378, 55.7706843999329]]}";
"3207103";"Парковка №3207 (3)";"281949987";"3207";"Центральный административный округ";"Басманный район";"1-Й Басманный Переулок, Дом 6";"круглосуточно";"60.0";"9";"37.6635695994138";"55.7711057500373";"55.770847,37.6634811|55.7713645,37.6636581";"{type=MultiLineString, coordinates=[[[37.663481100412476, 55.77084699996888], [37.66365809996447, 55.771364500180255]]], center=[[37.6635696001885, 55.7711057500746]]}";
"3206103";"Парковка №3206 (3)";"281949988";"3206";"Центральный административный округ";"Красносельский район";"1-Й Басманный Переулок, Дом 5/20, Строение 3";"круглосуточно";"60.0";"8";"37.6634784495891";"55.771298450026";"55.7710808,37.6634047|55.7715161,37.6635522";"{type=MultiLineString, coordinates=[[[37.663404699595866, 55.771080799835545], [37.66355220027058, 55.77151609979796]]], center=[[37.6634784499333, 55.7712984498168]]}";
"3207104";"Парковка №3207 (4)";"281949989";"3207";"Центральный административный округ";"Басманный район";"1-Й Басманный Переулок, Дом 12";"круглосуточно";"60.0";"5";"37.6638432496662";"55.771877050024";"55.772057,37.6639157|55.7716971,37.6637708";"{type=MultiLineString, coordinates=[[[37.66391569995704, 55.772057000226106], [37.663770799905095, 55.771697099934585]]], center=[[37.6638432499311, 55.7718770500803]]}";
